iter	RMSE
0	274.0439636
1	271.3661188
2	268.9418928
3	266.4234441
4	264.4354007
5	262.6922998
6	261.2308844
7	259.7094479
8	258.4233077
9	257.3858859
10	256.3644643
11	255.6092799
12	254.7186308
13	253.826591
14	253.1874554
15	252.3354491
16	251.7089746
17	251.1094667
18	250.4729633
19	250.0436466
20	249.6235072
21	249.1101619
22	248.7361336
23	248.4098777
24	248.1522794
25	247.8755052
26	247.551924
27	247.2438926
28	246.9162865
29	246.592459
30	246.4014319
31	246.1553237
32	245.9674162
33	245.7306077
34	245.5779994
35	245.3797742
36	245.238978
37	245.1286311
38	244.9162545
39	244.7319131
40	244.5931184
41	244.5908996
42	244.495023
43	244.3504524
44	244.2649877
45	244.1741273
46	244.0897747
47	244.003579
48	243.8903531
49	243.8409082
50	243.7839478
51	243.7215625
52	243.6519473
53	243.6500057
54	243.5421679
55	243.4761078
56	243.4055229
57	243.3289361
58	243.2704372
59	243.2686636
60	243.1615173
61	243.1596291
62	243.1345938
63	243.1339656
64	243.0605753
65	242.9208561
66	242.8570483
67	242.8554723
68	242.853912
69	242.8535176
70	242.8013672
71	242.7999307
72	242.7070137
73	242.7064706
74	242.6337016
75	242.5877534
76	242.5862901
77	242.5442557
78	242.5439407
79	242.4027853
80	242.3940402
81	242.3279735
82	242.2698708
83	242.2688508
84	242.2676359
85	242.2664281
86	242.2021826
87	242.201072
88	242.1998206
89	242.0617518
90	242.0187578
91	241.9787624
92	241.9776677
93	241.9498907
94	241.8837957
95	241.8390938
96	241.7408114
97	241.73977
98	241.7388094
99	241.6876863
100	241.5976228
101	241.5775505
102	241.5281785
103	241.4878342
104	241.4858093
105	241.4609156
106	241.4550349
107	241.3946275
108	241.3937188
109	241.3450074
110	241.298803
111	241.248042
112	241.2149773
113	241.2089522
114	241.1446494
115	241.1444773
116	241.116195
117	241.091723
118	241.0911005
119	241.0896794
120	241.043599
121	241.0425761
122	241.019095
123	241.0183098
124	241.0173515
125	240.9754829
126	240.9338906
127	240.9307252
128	240.9001565
129	240.8738906
130	240.8732207
131	240.8520512
132	240.8115121
133	240.7663346
134	240.7157086
135	240.7155877
136	240.6739111
137	240.6489763
138	240.6488625
139	240.612019
140	240.5665959
141	240.5518219
142	240.5517168
143	240.5510251
144	240.5066424
145	240.5065417
146	240.5054518
147	240.4326218
148	240.3970747
149	240.3961991
150	240.3653903
151	240.3273573
152	240.2912685
153	240.2382833
154	240.2373442
155	240.2285168
156	240.2022961
157	240.1638858
158	240.1634133
159	240.1555831
160	240.1199462
161	240.1149422
162	240.0833629
163	240.0825446
164	240.0814348
165	240.0168246
166	239.9875623
167	239.9869439
168	239.9861521
169	239.9788423
170	239.9738369
171	239.973001
172	239.9300471
173	239.927721
174	239.893839
175	239.8686699
176	239.844003
177	239.7979442
178	239.7972633
179	239.7963305
180	239.7945243
181	239.793627
182	239.7923321
183	239.7533867
184	239.7525334
185	239.7507698
186	239.7499491
187	239.7483962
188	239.7476059
189	239.7461413
190	239.7454726
191	239.7440939
192	239.7433553
193	239.706245
194	239.67224
195	239.6182639
196	239.5930455
197	239.5849303
198	239.5517435
199	239.5141551
