iter	Passed	Remaining
0	185	185034
1	382	190928
2	575	191240
3	769	191718
4	961	191250
5	1141	189138
6	1327	188265
7	1516	188101
8	1711	188411
9	1905	188670
10	2093	188232
11	2277	187528
12	2465	187166
13	2656	187108
14	2839	186428
15	3017	185553
16	3202	185202
17	3383	184600
18	3571	184383
19	3760	184246
20	3932	183339
21	4105	182512
22	4287	182126
23	4468	181729
24	4663	181888
25	4849	181665
26	5026	181130
27	5217	181131
28	5391	180533
29	5569	180091
30	5760	180048
31	5941	179722
32	6131	179679
33	6312	179353
34	6498	179179
35	6680	178885
36	6878	179035
37	7081	179262
38	7281	179412
39	7457	178988
40	7644	178807
41	7827	178534
42	8004	178142
43	8202	178215
44	8394	178141
45	8569	177729
46	8742	177276
47	8927	177063
48	9102	176658
49	9292	176558
50	9476	176342
51	9654	176003
52	9826	175579
53	10013	175414
54	10203	175313
55	10386	175085
56	10556	174641
57	10736	174374
58	10904	173925
59	11086	173684
60	11255	173265
61	11431	172945
62	11610	172685
63	11801	172601
64	12000	172617
65	12184	172422
66	12362	172152
67	12556	172095
68	12742	171931
69	12915	171596
70	13090	171281
71	13275	171101
72	13464	170982
73	13634	170621
74	13814	170373
75	14006	170292
76	14180	169985
77	14353	169664
78	14542	169542
79	14723	169323
80	14931	169408
81	15120	169277
82	15302	169059
83	15466	168662
84	15650	168476
85	15832	168266
86	16012	168042
87	16213	168026
88	16388	167748
89	16559	167435
90	16727	167094
91	16912	166921
92	17110	166872
93	17279	166541
94	17443	166175
95	17638	166096
96	17838	166066
97	18015	165815
98	18196	165610
99	18378	165408
100	18539	165017
101	18708	164711
102	18893	164538
103	19084	164421
104	19262	164188
105	19454	164076
106	19628	163816
107	19815	163663
108	20002	163507
109	20185	163320
110	20364	163103
111	20568	163076
112	20753	162908
113	20943	162769
114	21112	162470
115	21296	162291
116	21484	162140
117	21663	161927
118	21846	161737
119	22026	161526
120	22199	161268
121	22387	161120
122	22563	160876
123	22735	160613
124	22898	160290
125	23075	160064
126	23249	159816
127	23431	159625
128	23601	159354
129	23779	159138
130	23996	159180
131	24182	159018
132	24361	158808
133	24539	158591
134	24716	158366
135	24908	158244
136	25084	158016
137	25265	157816
138	25436	157559
139	25627	157426
140	25789	157117
141	25964	156886
142	26166	156815
143	26372	156772
144	26575	156702
145	26753	156488
146	26926	156247
147	27109	156064
148	27299	155920
149	27483	155739
150	27657	155503
